player_id,name,position,age,team_id,nationality,Goals,Assists
1,Mason Mount,"MF,FW",21,Chelsea,ENG,6,5
2,Edouard Mendy,GK,28,Chelsea,SEN,0,0
3,Timo Werner,FW,24,Chelsea,GER,6,8
4,Ben Chilwell,DF,23,Chelsea,ENG,3,5
5,Reece James,DF,20,Chelsea,ENG,1,2
6,Cesar Azpilicueta,DF,30,Chelsea,ESP,1,2
7,N'Golo Kante,MF,29,Chelsea,FRA,0,2
8,Jorginho,MF,28,Chelsea,ITA,7,1
9,Thiago Silva,DF,35,Chelsea,BRA,2,0
10,Kurt Zouma,DF,25,Chelsea,FRA,5,0
11,Mateo Kovafcifa,MF,26,Chelsea,CRO,0,1
12,Antonio Rudiger,DF,27,Chelsea,GER,1,0
13,Christian Pulisic,"FW,MF",21,Chelsea,USA,4,2
14,Kai Havertz,"MF,FW",21,Chelsea,GER,4,3
15,Andreas Christensen,DF,24,Chelsea,DEN,0,0
16,Hakim Ziyech,"FW,MF",27,Chelsea,MAR,2,3
17,Tammy Abraham,FW,22,Chelsea,ENG,6,1
18,Marcos Alonso,DF,29,Chelsea,ESP,2,0
19,Callum Hudson-Odoi,"FW,DF",19,Chelsea,ENG,2,3
20,Olivier Giroud,FW,33,Chelsea,FRA,4,0
21,Kepa Arrizabalaga,GK,25,Chelsea,ESP,0,0
22,Billy Gilmour,MF,19,Chelsea,SCO,0,0
23,Willy Caballero,GK,38,Chelsea,ARG,0,0
24,Ruben Loftus-Cheek,FW,24,Chelsea,ENG,0,0
25,Emerson Palmieri,DF,25,Chelsea,ITA,0,0
26,Fikayo Tomori,DF,22,Chelsea,ENG,0,0
27,Ross Barkley,MF,26,Chelsea,ENG,0,0
28,Ederson,GK,26,Manchester City,BRA,0,1
29,Ruben Dias,DF,23,Manchester City,POR,1,0
30,Rodri,MF,24,Manchester City,ESP,2,2
31,Raheem Sterling,FW,25,Manchester City,ENG,10,7
32,Joao Cancelo,DF,26,Manchester City,POR,2,3
33,Bernardo Silva,"MF,FW",25,Manchester City,POR,2,6
34,Ilkay Gundogan,MF,29,Manchester City,GER,13,2
35,Kevin De Bruyne,MF,29,Manchester City,BEL,6,12
36,Riyad Mahrez,FW,29,Manchester City,ALG,9,6
37,Gabriel Jesus,FW,23,Manchester City,BRA,9,4
38,Kyle Walker,DF,30,Manchester City,ENG,1,1
39,John Stones,DF,26,Manchester City,ENG,4,0
40,Phil Foden,"FW,MF",20,Manchester City,ENG,9,5
41,Oleksandr Zinchenko,DF,23,Manchester City,UKR,0,0
42,Ferran Torres,"FW,MF",20,Manchester City,ESP,7,2
43,Aymeric Laporte,DF,26,Manchester City,FRA,0,0
44,Fernandinho,MF,35,Manchester City,BRA,0,2
45,Benjamin Mendy,DF,26,Manchester City,FRA,2,1
46,Nathan Ake,DF,25,Manchester City,NED,1,0
47,Sergio Aguero,"FW,MF",32,Manchester City,ARG,4,1
48,Eric Garcia,DF,19,Manchester City,ESP,0,0
49,Scott Carson,GK,34,Manchester City,ENG,0,0
50,Zack Steffen,GK,25,Manchester City,USA,0,0
51,Liam Delap,FW,17,Manchester City,ENG,0,0
52,Bruno Fernandes,MF,25,Manchester United,POR,18,12
53,Aaron Wan-Bissaka,DF,22,Manchester United,ENG,2,4
54,Harry Maguire,DF,27,Manchester United,ENG,2,1
55,Marcus Rashford,FW,22,Manchester United,ENG,11,9
56,Luke Shaw,DF,25,Manchester United,ENG,1,5
57,Victor Lindelof,DF,26,Manchester United,SWE,1,1
58,Fred,MF,27,Manchester United,BRA,1,0
59,David de Gea,GK,29,Manchester United,ESP,0,0
60,Scott McTominay,MF,23,Manchester United,SCO,4,1
61,Paul Pogba,"MF,FW",27,Manchester United,FRA,3,3
62,Mason Greenwood,FW,18,Manchester United,ENG,7,2
63,Anthony Martial,FW,24,Manchester United,FRA,4,3
64,Edinson Cavani,FW,33,Manchester United,URU,10,3
65,Dean Henderson,GK,23,Manchester United,ENG,0,0
66,Nemanja Matifa,MF,31,Manchester United,SRB,0,0
67,Daniel James,FW,22,Manchester United,WAL,3,1
68,Eric Bailly,DF,26,Manchester United,CIV,0,0
69,Alex Telles,DF,27,Manchester United,BRA,0,2
70,Juan Mata,"FW,MF",32,Manchester United,ESP,1,2
71,Donny van de Beek,"MF,FW",23,Manchester United,NED,1,1
72,Axel Tuanzebe,DF,22,Manchester United,ENG,0,0
73,Brandon Williams,DF,19,Manchester United,ENG,0,0
74,Amad Diallo,FW,18,Manchester United,CIV,0,1
75,Anthony Elanga,FW,18,Manchester United,SWE,1,0
76,Timothy Fosu-Mensah,DF,22,Manchester United,NED,0,0
77,Shola Shoretire,FW,16,Manchester United,ENG,0,0
78,Odion Ighalo,FW,31,Manchester United,NGA,0,0
79,Hannibal Mejbri,MF,17,Manchester United,FRA,0,0
80,William Thomas Fish,DF,17,Manchester United,ENG,0,0
81,Andrew Robertson,DF,26,Liverpool FC,SCO,1,7
82,Mohamed Salah,FW,28,Liverpool FC,EGY,22,5
83,Trent Alexander-Arnold,DF,21,Liverpool FC,ENG,2,7
84,Georginio Wijnaldum,MF,29,Liverpool FC,NED,2,0
85,Alisson,GK,27,Liverpool FC,BRA,1,0
86,Roberto Firmino,FW,28,Liverpool FC,BRA,9,7
87,Sadio Mane,FW,28,Liverpool FC,SEN,11,7
88,Fabinho,"DF,MF",26,Liverpool FC,BRA,0,0
89,Thiago Alcantara,MF,29,Liverpool FC,ESP,1,0
90,Jordan Henderson,"MF,DF",30,Liverpool FC,ENG,1,1
91,Nathaniel Phillips,DF,23,Liverpool FC,ENG,1,1
92,Curtis Jones,MF,19,Liverpool FC,ENG,1,2
93,Diogo Jota,FW,23,Liverpool FC,POR,9,0
94,James Milner,"MF,DF",34,Liverpool FC,ENG,0,1
95,Ozan Kabak,DF,20,Liverpool FC,TUR,0,0
96,Joel Matip,DF,28,Liverpool FC,CMR,1,2
97,Rhys Williams,DF,19,Liverpool FC,ENG,0,0
98,Naby Keita,MF,25,Liverpool FC,GUI,0,0
99,Joe Gomez,DF,23,Liverpool FC,ENG,0,0
100,Xherdan Shaqiri,"MF,FW",28,Liverpool FC,SUI,0,2
101,Virgil van Dijk,DF,29,Liverpool FC,NED,1,0
102,Adrian,GK,33,Liverpool FC,ESP,0,0
103,Neco Williams,DF,19,Liverpool FC,WAL,0,0
104,Takumi Minamino,"MF,FW",25,Liverpool FC,JPN,1,0
105,Alex Oxlade-Chamberlain,"FW,MF",26,Liverpool FC,ENG,1,1
106,Divock Origi,FW,25,Liverpool FC,BEL,0,0
107,Caoimhin Kelleher,GK,21,Liverpool FC,IRL,0,0
108,Kostas Tsimikas,DF,24,Liverpool FC,GRE,0,0
109,Kasper Schmeichel,GK,33,Leicester City,DEN,0,0
110,Youri Tielemans,MF,23,Leicester City,BEL,6,4
111,Jamie Vardy,FW,33,Leicester City,ENG,15,9
112,Jonny Evans,DF,32,Leicester City,NIR,2,2
113,Timothy Castagne,DF,24,Leicester City,BEL,2,3
114,Wesley Fofana,DF,19,Leicester City,FRA,0,0
115,Wilfred Ndidi,"MF,DF",23,Leicester City,NGA,1,4
116,James Maddison,"MF,FW",23,Leicester City,ENG,8,5
117,James Justin,DF,22,Leicester City,ENG,2,1
118,Harvey Barnes,"FW,MF",22,Leicester City,ENG,9,4
119,Caglar Soyuncu,DF,24,Leicester City,TUR,1,0
120,Marc Albrighton,"DF,FW",30,Leicester City,ENG,1,5
121,Kelechi Iheanacho,FW,23,Leicester City,NGA,12,2
122,Nampalys Mendy,MF,28,Leicester City,SEN,0,1
123,Ayoze Perez,"MF,FW",27,Leicester City,ESP,2,1
124,Luke Thomas,DF,19,Leicester City,ENG,1,0
125,Ricardo Pereira,DF,26,Leicester City,POR,0,1
126,Dennis Praet,"MF,FW",26,Leicester City,BEL,1,1
127,Daniel Amartey,DF,25,Leicester City,GHA,1,0
128,Christian Fuchs,DF,34,Leicester City,AUT,0,0
129,Hamza Choudhury,MF,22,Leicester City,ENG,0,0
130,Cengiz Under,"MF,FW",23,Leicester City,TUR,0,2
131,Sidnei Tavares,MF,18,Leicester City,POR,0,0
132,Islam Slimani,FW,32,Leicester City,ALG,0,0
133,Demarai Gray,FW,24,Leicester City,ENG,0,0
134,Wes Morgan,DF,36,Leicester City,JAM,0,0
135,Khanya Leshabela,MF,20,Leicester City,RSA,0,0
136,Tomas Soucek,MF,25,West Ham United,CZE,10,1
137,Aaron Cresswell,DF,30,West Ham United,ENG,0,8
138,Lukasz Fabiaski,GK,35,West Ham United,POL,0,0
139,Vladimir Coufal,DF,27,West Ham United,CZE,0,7
140,Declan Rice,MF,21,West Ham United,ENG,2,1
141,Pablo Fornals,"FW,MF",24,West Ham United,ESP,5,4
142,Jarrod Bowen,"FW,MF",23,West Ham United,ENG,8,5
143,Angelo Ogbonna,DF,32,West Ham United,ITA,3,0
144,Michail Antonio,FW,30,West Ham United,ENG,10,5
145,Craig Dawson,DF,30,West Ham United,ENG,3,0
146,Jesse Lingard,"MF,FW",27,West Ham United,ENG,9,4
147,Issa Diop,DF,23,West Ham United,FRA,2,0
148,Said Benrahma,"FW,MF",24,West Ham United,ALG,1,6
149,Fabian Balbuena,DF,28,West Ham United,PAR,1,0
150,Arthur Masuaku,"DF,FW",26,West Ham United,COD,0,2
151,Sebastien Haller,FW,26,West Ham United,CIV,3,0
152,Mark Noble,MF,33,West Ham United,ENG,0,0
153,Ryan Fredericks,"DF,FW",27,West Ham United,ENG,1,1
154,Manuel Lanzini,"MF,FW",27,West Ham United,ARG,1,1
155,Ben Johnson,DF,20,West Ham United,ENG,1,0
156,Darren Randolph,GK,33,West Ham United,IRL,0,0
157,Andriy Yarmolenko,"FW,MF",30,West Ham United,UKR,0,1
158,Robert Snodgrass,"FW,DF",32,West Ham United,SCO,0,0
159,Felipe Anderson,"FW,MF",27,West Ham United,BRA,0,0
160,Pierre-Emile Hojbjerg,MF,24,Tottenham Hotspur,DEN,2,4
161,Hugo Lloris,GK,33,Tottenham Hotspur,FRA,0,0
162,Son Heung-min,FW,28,Tottenham Hotspur,KOR,17,10
163,Harry Kane,FW,27,Tottenham Hotspur,ENG,23,14
164,Eric Dier,DF,26,Tottenham Hotspur,ENG,0,0
165,Tanguy Ndombele,MF,23,Tottenham Hotspur,FRA,3,2
166,Sergio Reguilon,DF,23,Tottenham Hotspur,ESP,0,3
167,Toby Alderweireld,DF,31,Tottenham Hotspur,BEL,1,0
168,Serge Aurier,DF,27,Tottenham Hotspur,CIV,2,3
169,Davinson Sanchez,DF,24,Tottenham Hotspur,COL,0,0
170,Moussa Sissoko,MF,30,Tottenham Hotspur,FRA,0,0
171,Lucas Moura,"FW,MF",27,Tottenham Hotspur,BRA,3,4
172,Ben Davies,DF,27,Tottenham Hotspur,WAL,0,1
173,Matt Doherty,DF,28,Tottenham Hotspur,IRL,0,2
174,Steven Bergwijn,"FW,MF",22,Tottenham Hotspur,NED,1,3
175,Giovani Lo Celso,MF,24,Tottenham Hotspur,ARG,1,1
176,Gareth Bale,FW,31,Tottenham Hotspur,WAL,11,2
177,Harry Winks,MF,24,Tottenham Hotspur,ENG,0,0
178,Joe Rodon,DF,22,Tottenham Hotspur,WAL,0,0
179,Dele Alli,MF,24,Tottenham Hotspur,ENG,0,1
180,Japhet Tanganga,DF,21,Tottenham Hotspur,ENG,0,0
181,Erik Lamela,"FW,MF",28,Tottenham Hotspur,ARG,1,0
182,Carlos Vinicius,FW,25,Tottenham Hotspur,BRA,1,0
183,Dane Scarlett,FW,16,Tottenham Hotspur,ENG,0,0
184,Bernd Leno,GK,28,Arsenal,GER,0,0
185,Bukayo Saka,"FW,DF",18,Arsenal,ENG,5,3
186,Granit Xhaka,"MF,DF",27,Arsenal,SUI,1,2
187,Rob Holding,DF,24,Arsenal,ENG,0,1
188,Pierre-Emerick Aubameyang,FW,31,Arsenal,GAB,10,3
189,Kieran Tierney,DF,23,Arsenal,SCO,1,3
190,Hector Bellerin,DF,25,Arsenal,ESP,1,2
191,Gabriel Dos Santos,DF,22,Arsenal,BRA,2,0
192,Alexandre Lacazette,FW,29,Arsenal,FRA,13,2
193,Thomas Partey,MF,27,Arsenal,GHA,0,2
194,Emile Smith-Rowe,"MF,FW",20,Arsenal,ENG,2,4
195,Dani Ceballos,MF,23,Arsenal,ESP,0,3
196,Mohamed Elneny,MF,28,Arsenal,EGY,1,0
197,David Luiz,DF,33,Arsenal,BRA,1,0
198,Nicolas Pepe,FW,25,Arsenal,CIV,10,1
199,Willian,"FW,MF",31,Arsenal,BRA,1,5
200,Pablo Mari,DF,26,Arsenal,ESP,0,0
201,Martin Odegaard,MF,21,Arsenal,NOR,1,2
202,Calum Chambers,DF,25,Arsenal,ENG,0,2
203,Cedric Soares,DF,28,Arsenal,POR,0,1
204,Martinelli,FW,19,Arsenal,BRA,2,1
205,Ainsley Maitland-Niles,DF,22,Arsenal,ENG,0,0
206,Eddie Nketiah,FW,21,Arsenal,ENG,2,1
207,Mathew Ryan,GK,28,Arsenal,AUS,0,0
208,Joe Willock,MF,20,Arsenal,ENG,0,0
209,Sead Kolasinac,DF,27,Arsenal,BIH,0,0
210,Reiss Nelson,FW,20,Arsenal,ENG,0,0
211,Shkodran Mustafi,DF,28,Arsenal,GER,0,0
212,Runar Alex Runarsson,GK,25,Arsenal,ISL,0,0
213,Stuart Dallas,"DF,MF",29,Leeds United,NIR,8,2
214,Luke Ayling,DF,28,Leeds United,ENG,0,0
215,Patrick Bamford,FW,26,Leeds United,ENG,17,7
216,Illan Meslier,GK,20,Leeds United,FRA,0,0
217,Jack Harrison,MF,23,Leeds United,ENG,8,8
218,Ezgjan Alioski,DF,28,Leeds United,MKD,2,3
219,Kalvin Phillips,MF,24,Leeds United,ENG,1,2
220,Mateusz Klich,MF,30,Leeds United,POL,4,5
221,Raphael Dias Belloli,MF,23,Leeds United,BRA,6,9
222,Liam Cooper,DF,28,Leeds United,SCO,1,0
223,Pascal Struijk,"DF,MF",20,Leeds United,NED,1,0
224,Tyler Roberts,"MF,FW",21,Leeds United,WAL,1,2
225,Rodrigo,"MF,FW",29,Leeds United,ESP,7,2
226,Diego Llorente,DF,26,Leeds United,ESP,1,0
227,Helder Costa,"MF,FW",26,Leeds United,POR,3,3
228,Robin Koch,"DF,MF",24,Leeds United,GER,0,0
229,Jamie Shackleton,"MF,DF",20,Leeds United,ENG,0,0
230,Pablo Hernandez,MF,35,Leeds United,ESP,0,2
231,Kiko Casilla,GK,33,Leeds United,ESP,0,0
232,Gaetano Berardi,DF,31,Leeds United,SUI,0,0
233,Ian Carlo Poveda,"MF,DF",20,Leeds United,ENG,0,0
234,Niall Huggins,DF,19,Leeds United,WAL,0,0
235,Leif Davis,DF,20,Leeds United,ENG,0,0
236,Michael Keane,DF,27,Everton,ENG,3,1
237,Richarlison,FW,23,Everton,BRA,7,3
238,Dominic Calvert-Lewin,FW,23,Everton,ENG,16,0
239,Jordan Pickford,GK,26,Everton,ENG,0,0
240,Lucas Digne,DF,27,Everton,FRA,0,7
241,Ben Godfrey,DF,22,Everton,ENG,0,2
242,Abdoulaye Doucoure,MF,27,Everton,FRA,2,3
243,Mason Holgate,DF,23,Everton,ENG,1,0
244,Gylfi Sigurosson,MF,30,Everton,ISL,6,5
245,Allan,MF,29,Everton,BRA,0,0
246,Yerry Mina,DF,25,Everton,COL,2,0
247,James Rodriguez,"FW,MF",29,Everton,COL,6,4
248,Seamus Coleman,"DF,MF",31,Everton,IRL,0,3
249,Andre Gomes,MF,27,Everton,POR,0,1
250,Alex Iwobi,"FW,DF",24,Everton,NGA,1,2
251,Tom Davies,MF,22,Everton,ENG,0,1
252,Robin Olsen,GK,30,Everton,SWE,0,0
253,Bernard,"MF,FW",27,Everton,BRA,1,0
254,Fabian Delph,"MF,DF",30,Everton,ENG,0,0
255,Anthony Gordon,"FW,MF",19,Everton,ENG,0,0
256,Niels Nkounkou,"DF,FW",19,Everton,FRA,0,0
257,Jonjoe Kenny,DF,23,Everton,ENG,0,0
258,Joshua King,"MF,FW",28,Everton,NOR,0,0
259,Cenk Tosun,FW,29,Everton,TUR,0,0
260,Joao Virginia,GK,20,Everton,POR,0,0
261,Moise Kean,FW,20,Everton,ITA,0,0
262,Theo Walcott,FW,31,Everton,ENG,0,0
263,Jean-Philippe Gbamin,MF,24,Everton,CIV,0,0
264,Nathan Broadhead,MF,22,Everton,WAL,0,0
265,Emiliano Martinez,GK,27,Aston Villa,ARG,0,0
266,Matt Targett,DF,24,Aston Villa,ENG,0,2
267,John McGinn,MF,25,Aston Villa,SCO,3,5
268,Ollie Watkins,FW,24,Aston Villa,ENG,14,5
269,Tyrone Mings,DF,27,Aston Villa,ENG,2,2
270,Ezri Konsa,DF,22,Aston Villa,ENG,2,0
